Provincia;Identificador_Canton;Identificador_Parroquia;Zona;Sector;Numero_vivienda;Numero_hogar;Numero_persona_emigrante;Año_salida;Sexo_emigrante;Edad_salida;pais_actual_residencia;Area_urbana_o_rural;CANTON;PARROQ;ID_VIV;ID_HOG;ID_EMI
"Azuay";1;62;999;2;33;1;1;2020;"Hombre";26;881840;"Area rural";"Cuenca";"Ricaurte";101629990020033;10162999002003301;1016299900200330101
"Azuay";1;62;999;2;67;1;1;2022;"Hombre";21;881840;"Area rural";"Cuenca";"Ricaurte";101629990020067;10162999002006701;1016299900200670101
"Azuay";1;62;999;2;79;1;1;2020;"Hombre";30;881840;"Area rural";"Cuenca";"Ricaurte";101629990020079;10162999002007901;1016299900200790101
"Azuay";1;62;999;3;11;1;1;2022;"Mujer";50;881840;"Area rural";"Cuenca";"Ricaurte";101629990030011;10162999003001101;1016299900300110101
"Azuay";1;62;999;3;13;1;1;2022;"Hombre";32;881840;"Area rural";"Cuenca";"Ricaurte";101629990030013;10162999003001301;1016299900300130101
"Azuay";1;62;999;3;68;1;1;2022;"Hombre";37;881840;"Area rural";"Cuenca";"Ricaurte";101629990030068;10162999003006801;1016299900300680101
"Azuay";1;62;999;3;96;1;1;2019;"Hombre";36;881840;"Area rural";"Cuenca";"Ricaurte";101629990030096;10162999003009601;1016299900300960101
"Azuay";1;62;999;4;41;1;1;2022;"Hombre";25;881840;"Area rural";"Cuenca";"Ricaurte";101629990040041;10162999004004101;1016299900400410101
"Azuay";1;62;999;4;49;1;1;2015;"Hombre";34;881840;"Area rural";"Cuenca";"Ricaurte";101629990040049;10162999004004901;1016299900400490101
"Azuay";1;62;999;4;56;1;1;2014;"Hombre";39;881840;"Area rural";"Cuenca";"Ricaurte";101629990040056;10162999004005601;1016299900400560101
"Azuay";1;62;999;5;29;1;1;2022;"Hombre";29;881840;"Area rural";"Cuenca";"Ricaurte";101629990050029;10162999005002901;1016299900500290101
"Azuay";1;62;999;5;30;1;1;2022;"Hombre";28;881840;"Area rural";"Cuenca";"Ricaurte";101629990050030;10162999005003001;1016299900500300101
"Azuay";1;62;999;5;43;1;1;2015;"Hombre";20;881840;"Area rural";"Cuenca";"Ricaurte";101629990050043;10162999005004301;1016299900500430101
